id,sort,title,content,legend,image
26,11,Retour au cadrage Initial - reset,"Cliquer sur le logo de la confédération suisse, en haut à gauche, permet de revenir au cadrage initial de la carte, c'est-à-dire à une vue d'ensemble de la suisse.
Le visualiseur est également réinitialisé.",,/help/img/26f.png
27,12,Géolocalisation,"Le bouton ""géolocalisation"" permet de localiser votre position géographique par GPS. Lorsque vous cliquez une première fois dessus, le bouton devient rouge et une icône s'affiche sur sur la carte. 

La flèche, représentée par l'icône, indique la direction dans laquelle vous regardez. Ainsi lorsque vous déplacez l'appareil, celle-ci tourne.

<img src=""/help/img/27a_f.png"">


Si vous cliquez de nouveau sur le bouton de ""géolocalisation"", la carte s'oriente en fonction de la direction de l'appareil. Le Nord est indiqué par l'icône en haut à droite de l'écran. Pour sortir du mode ""géolocalisation"" cliquez de nouveau sur le même bouton.  

<img src=""/help/img/27b_f.png"">",,
30,13,SELECTION & VISUALISATION DE DONNÉES,#,,
31,14,Recherche de données (plein texte),"""Recherche"" est un champ de saisie qui permet de rechercher des mots clefs (par exemple: ""marais"", ""route"", ""commune"", etc.) dans la description de géodonnées disponibles. Lorsque vous sélectionnez un des résultats proposés, celui-ci est directement affiché en tant que jeux de données.",,/help/img/31f.png
32,15,Recherche de données (catalogue),"Sous ""Changer thème"" vous trouverez l'ensemble des géodonnées disponibles classées par thèmes. Lorsque vous sélectionnez un jeu de données (en cliquant sur le cercle à droite), celui-ci est directement affiché.",,/help/img/32f.png
33,16,Changer l'arrière-plan,"Des photos aériennes et des cartes nationales sont disponibles comme arrière-plans. On peu sélectionner les cartes nationales couleur, noir blanc ou fond blanc.",,/help/img/33f.png
34,17,Transparence des jeux de données,"Cliquer sur l'icône (1). En déplaçant le curseur, on peut régler individuellement la transparence de chaque jeu de données.",,/help/img/34f.png
35,18,Changer l'ordre des jeux de données,"Cliquer sur l'icône (1). Dans ""Sélection de couches"", l'ordre des jeux de données peut être modifié au moyen des flèches vers le haut et le bas (2).",,/help/img/35f.png
36,19,Supprimer les jeux de données,"Les jeux de données sélectionnés peuvent être retirés de la liste ""Sélection de couches"" au moyen du bouton fermer (1).",,/help/img/36f.png
37,20,Voir les informations d'un jeu de données,"La fenêtre d'information à propos des jeux de données peut être ouverte en cliquant sur le bouton ""i"" à partir de la ""Sélection de couches"" ou du  ""Catalogue"". Elle permet de se renseigner sur: la plage de validité des données, les métadonnées, la description, les données de référence, le géoportail thématique, le service WMS et la mise à jour.",,/help/img/37f.png
38,21,Informations d'un objet sur la carte,"Il est possible d'interroger les objets de certains jeux de données vectoriels (points, lignes ou polygones) en cliquant dessus. Lorsque plusieurs jeux de données interrogeables sont affichés simultanément lors du clic, les informations concernant l'ensemble de ces jeux sont affichées.",,/help/img/38f.png
39,22,Acquisition de données,"Les données qui peuvent être affichées sur la carte peuvent, si cela est prévu par l'office fédéral les mettant à disposition, être commandées auprès de celui-ci. Ouvrir la fenêtre d'information à propos d'un jeu de données au moyen du bouton ""i"" et sélectionner le lien ""Données de référence"" dans la fenêtre d'information.",,/help/img/39f.png
40,23,Images aériennes,"En utilisant le visualiseur LUBIS sur <a href=""http://map.lubis.admin.ch""> map.lubis.admin.ch</a>  toutes les images et bandes d'images disponibles dans la base de données d'images aériennes de swisstopo peuvent être recherchées, consultées et commandées. La base de données est continuellement complétée avec de nouvelles bandes d'images aériennes et historiques. Les données mises à disposition sont actualisées au début de chaque trimestre.
Vous trouverez des informations générales sur les images aériennes de swisstopo sous ce <a href=""http://www.swisstopo.admin.ch/internet/swisstopo/fr/home/products/images/aerial.html"">lien</a> 

1. Démarrer l'application sur  <a href=""http://map.lubis.admin.ch"">map.lubis.admin.ch</a>. 

2. Recherche par lieu ou coordonnées

<img src=""/help/img/luft2-fr.png"" />

3. Choisir le type d'image (noir/blanc, couleur, infrarouge, bandes d'images). 
4. Recherche par année de prise de vue: activée au moyen du bouton <b1>""temps""<b2>.

<img src=""/help/img/luft3-fr.png"" />

5. En cliquant sur une image seule (point) ou sur une bande d'images (ligne), on obtient:
- l'empreinte de la photographie (en jaune).
- les informations dans une fenêtre (vue complète/fiche technique) et possibilités de commande.
	
<img src=""/help/img/luft4-fr.png"" />

Vous trouverez dans le document ci-dessous des instructions détaillées :

<iframe src=""https://docs.google.com/presentation/d/1cwtwJN1zzxs5js6jWfH2hlPn8Gx9YROYtRwf4NniuV4/embed?start=false&loop=false&delayms=5000"" frameborder=""0"" width=""570"" height=""456"" allowfullscreen=""true"" mozallowfullscreen=""true"" webkitallowfullscreen=""true""></iframe>",,/help/img/blank.png
41,24,Imprimer,"L'application permet de produire des fichiers PDF à partir de la carte (munie de quelques informations utiles, telle que l'échelle). Ces fichiers peuvent être enregistrés et imprimés. En appuyant sur le bouton ""imprimer"", la fenêtre de dialogue dans laquelle on peut paramétrer l'échelle désirée et l'orientation du document PDF A4/A3 s'ouvre. La zone qui apparaîtra sur le document est en surbrillance sur la carte et peut être déplacée avec la souris. Les légendes des jeux de données peuvent être imprimées à partir des fenêtres d'information en appuyant sur le bouton ""Imprimer"". Attention, les fichiers PDF peuvent faire plusieurs mégaoctets. Leur transmission, notamment par le biais de lignes à faible puissance, peut prendre un certain temps.","<b>Légende:</b> Les légendes de tous les jeux de données sont imprimées sur une seconde page.
<b>Réseau de coordonnées:</b> Superposition d'un réseau de coordonnées suisse WGS84.
<b><i>Optionnel</i> Série temporelle:</b> Pour les jeux de données avec plusieurs représentations temporelles disponibles: un nouveau PDF est généré pour chaque représentation temporelle du point milieu de la carte.",/help/img/40f.png
42,25,Curseur de temps,"Certaines géodonnées peuvent être visualisées dans le temps. Ces jeux de données sont reconnaissables par l'icône ""temps"" qui apparait sur le visualiseur à droite.<br>
<img src=""/help/img/42f.png""><br>

1. Choisir une couche <b>Raster</b> (""Voyage dans le temps"" dans le thème swisstopo, par exemple) ou <b>vectorielle</b> (""Images aériennes swisstopo"", par exemple).<br>
2. L'icône <b>""temps""</b> apparait à droite et :
- est activée par défaut si c'est une couche <b>""Raster""</b> : le curseur de temps apparait et les données les plus récentes sont affichées. 
- est désactivée par défaut si c'est une couche <b>vectorielle</b> : les données de toutes les années disponibles sont affichées. En cliquant sur l'icône ""temps"", le curseur de temps apparait et les données les plus récentes sont affichées.<br>
3. Au moyen du <b>curseur de temps</b>, sélectionner une année à visualiser.<br>
4. l'année choisie est également affichée dans ""Sélection de couches"".",,/help/img/blank.png
43,26,Copier/comparer données temporelles,"1. Choisir une couche Raster (""Voyage dans le temps"" dans le thème swisstopo, par exemple) ou vectorielle (""Images aériennes swisstopo"", par exemple).
2) Copier ce jeu de données en cliquant sur l'icône <b>""Copie""</b> dans la fenêtre ""Sélection de couches"". La couche dupliquée apparait.
3) Ouvrir la <b>fenêtre de sélection temporelle</b> en cliquant sur l'année indiquée pour le jeu de données (en rouge) et choisir l'année désirée pour chaque couche.

4) Comparer les deux jeux de données en utilisant directement le curseur de transparence de la couche supérieure ou au moyen de la fonction ""comparer"" dans le menu ""Outils"".

<img src=""/help/img/43f.png"">",,/help/img/blank.png
44,27,Sélection d'objets ,"<ol type=""1""><li>Choisir un jeu de données du thème « Aviation » (Obstacles à la navigation aérienne, p.ex.). Toutes les couches dites « searchable » peuvent être utilisées dans le query tool (voir <a href=""//api3.geo.admin.ch/api/faq/index.html#which-layers-are-searchable"" target=""_blank"">info</a> ).<br /></li>
<li>Dans « Outils » sélectionner « Information objet ».</li>
<li>Pour afficher  tous les objets (max. 200) dans un périmètre défini, tracer un rectangle dans la zone d’intérêt en maintenant la touche CTRL enfoncée (cmd sur Mac). </li><br /><img src=""/help/img/44a_f.png""><br /><br /><b><u>Sélection par filtres</u></b><br /><br /><li>Les objets peuvent être affichés au moyen de <b>filtres</b> pré-définis ou personnalisés</li>
<li>Les conditions de filtrage doivent être définies en sélectionnant un jeu de données,</li>
<li>en choisissant un <b>paramètre</b> et un <b>opérateur de comparaison</b>,</li>
<li>puis en introduisant une valeur.</li>
<li>Plusieurs filtres peuvent être utilisés en cascade.</li><br />Cliquer sur « Rechercher ». Les objets filtrés apparaissent.<br /><br /><img src=""/help/img/44b_f.png""><br /><br /><b><u>Sélection par attribut</u></b><br />
L’affichage d’objets peut être filtré en utilisant les attributs disponibles pour le jeu de données choisi.<br /><br /><li>Sélectionner « Statut » dans la liste de paramètres de filtrage</li>
<li>Faire apparaître les <b>attributs disponibles</b> puis sélectionner dans la liste déroulante</li>
<li>Choisir une opération  « ilike » =  ou « not ilike » !=</li></ol><br />Cliquer sur « Rechercher ». Les objets filtrés par attribut apparaissent.",,/help/img/blank.png
50,28,LIEN & INTEGRATION,#,,
52,29,Enregistrer/ transmettre / iFrame le contexte de la carte,"<b>Enregistrer ou transmettre par email le contexte actuel de la carte</b>

La fonction ""Lien"" permet d'obtenir un lien (URL) contenant le contexte du moment (jeux de données, lieu, échelle). Celui-ci peut être copié et envoyé par Email, ou partagé au moyen de divers médias sociaux.<br>
<img src=""/help/img/52f.png"">

<b>Intégrer la carte dans une page web au moyen de iFrame</b>

Le code à intégrer dans votre page web est automatiquement généré. En cliquant sur ""voir plus"", les dimensions de la carte sont configurables. Il suffit de copier le code dans la page web.<br>
<img src=""/help/img/52bf.png""><br>
Le code de notre exemple:
<p class=""test"" style=""text-align: left;font-style: italic; color: #069;"">&lt;iframe src='//map.geo.admin.ch/embed.html?X=171954.23&Y=640698.99&zoom=3&lang=fr&topic=ech&bgLayer=ch.swisstopo.pixelkarte-grau' width='400' height='300' frameborder='0' style='border:0'&gt;&lt;/iframe&gt;</p><br> donne le résultat suivant:<br>
<iframe src='//map.geo.admin.ch/embed.html?X=171954.23&Y=640698.99&zoom=3&lang=fr&topic=ech&bgLayer=ch.swisstopo.pixelkarte-grau' width='400' height='300' frameborder='0' style='border:0'></iframe>",,/help/img/blank.png
53,30,Enregistrer/transmettre un lien vers un objet,"<b>Enregistrer ou transmettre par email un lien vers un objet</b>

Il est possible avec certains jeux de données vectoriels (points, lignes et polygones) de produire un lien (URL) directement sur un objet de la carte. Lorsqu'on ouvre la fenêtre d'information sur un objet en cliquant sur celui-ci, la dernière information qu'elle contient est l'URL ""Lien vers objet"". Ce lien va centrer l'objet correspondant dans la fenêtre actuelle par clic ou dans une nouvelle fenêtre par double clic. On peut ensuite utiliser la fonction ""Lien"" pour enregistrer ou transmettre l'URL.",,/help/img/53f.png
54,31,Paramétrer le lien vers la carte,"Par le biais d'un lien avec des paramètres il est possible d'ouvrir l'application avec des jeux de données, une langue, en cadrage et une échelle prédéfinis:  api3.geo.admin.ch [//api3.geo.admin.ch]
<table width=""570"">
<tr>
<td bgcolor=""#eeeeee"" valign=""top"" width=""100""><span style=""font-weight:bold; font-size:11px;"">Paramètre</span></td>
<td bgcolor=""#eeeeee"" valign=""top"" width=""150""><span style=""font-weight:bold; font-size:11px;"">Description</span></td>
<td bgcolor=""#eeeeee"" valign=""top"" width=""310""><span style=""font-weight:bold; font-size:11px;"">Exemple</span></td>
</tr>
<tr>
<td valign=""top"" width=""100"">lang</td>
<td valign=""top"" width=""150"">Langue de l'application de, fr, it, rm ou en</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?lang=rm"" target=""_blank"">http://map.geo.admin.ch/?lang=rm</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">zoom</td>
<td valign=""top"" width=""150"">Niveau de zoom, de 0 jusqu'à 13</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?zoom=12"" target=""_blank"">http://map.geo.admin.ch?zoom=12</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">Y, X</td>
<td valign=""top"" width=""150"">Est (de 450‘000 jusqu'à    900‘000) Nord (de 50‘000 jusqu'à    350‘000, toujours inférieur à Y)</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?Y=600000&amp;X=190000"" target=""_blank"">http://map.geo.admin.ch?Y=600000&amp;X;=190000</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">topic</td>
<td valign=""top"" width=""150"">Thème avec jeux de données correspondants: blw, are, bafu, swisstopo, kgs, funksender, nga, ivs, sachplan, geol, luftbilder, wildruhezonen, vu, inspire, ech</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?topic=vu"" target=""_blank"">http://map.geo.admin.ch?topic=vu</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">bgLayer</td>
<td valign=""top"" width=""150"">Carte d'arrière-plan: soit ch.swisstopo.pixelkarte-farbe, ch.swisstopo.pixelkarte-grau ou voidLayer (fond blanc)</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau"" target=""_blank"">http://map.geo.admin.ch?bgLayer=ch.swisstopo.pixelkarte-grau</a></td>
</tr>
<tr>
<td height=""143"" valign=""top"" width=""100"">layers</td>
<td valign=""top"" width=""150"">Affichage des layers, pour obtenir une liste complète de contenus KML: les couches sont supportées avec || liste séparée avec: KML||kml URL les couches WMS sont supportées avec || liste séparée avec: WMS||layer title||wms url||layer name</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?layers=WMS||Geothermie||http://wms.geo.admin.ch/?||ch.swisstopo.geologie-geophysik-geothermie,ch.ensi.zonenplan-notfallschutz-kernanlagen,KML||http://www.meteoschweiz.admin.ch/web/de/klima/messsysteme/boden/google_earth.Par.0007.DownloadFile.ext.tmp/obs.kml"" target=""_blank"">
http://map.geo.admin.ch/?layers=WMS<br/>
||Geothermie||http://<br/>
wms.geo.admin.ch/?||ch.<br/>
swisstopo.geologie-geophysik-geothermie,
<br/>ch.ensi.zonenplan-notfallschutz-<br/>
kernanlagen,KML||http://<br/>
www.meteoschweiz.admin.ch/web/de/klima<br/>
/messsysteme/boden/google_earth.<br/>
Par.0007.DownloadFile.ext.tmp/obs.kml</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">layers_opacity</td>
<td valign=""top"" width=""150"">Opacité de la couche - doit correspondre avec le nombre de couches (0-1.0)</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?layers=ch.swisstopo.hiks-dufour&amp;layers_opacity=0.5"" target=""_blank"">http://map.geo.admin.ch?layers=ch.swisstopo.hiks-<br/>dufour&amp;layers_opacity=0.5</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">layers_visibility</td>
<td valign=""top"" width=""150"">(Dés)-activer la visibilité d'une couche sélectionnée</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?layers=ch.swisstopo.hiks-dufour&amp;layers_visibility=False"" target=""_blank"">http://map.geo.admin.ch?layers=ch.swisstopo.hiks-<br/>dufour&amp;layers_visibility=False</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">layers_timestamp</td>
<td valign=""top"" width=""150"">Liste de timestamp (format  YYYYMMDD). Un timestamp par couche, vide si la couche n’est pas ""timeEnabled"".<br>
Cas special YYYYMMDD ""99991231"" signifie que les données de toute les années s’affichent (valeur par defaut).</br></td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?layers_timestamp=19971231,19991231,19981231,20001231,99991231,2014,&amp;X=190000.00&amp;Y=660000.00&amp;zoom=1&amp;lang=fr&amp;topic=luftbilder&amp;bgLayer=ch.swisstopo.pixelkarte-grau&amp;layers=ch.swisstopo.lubis-luftbilder_schwarzweiss,ch.swisstopo.lubis-luftbilder_farbe,ch.swisstopo.lubis-luftbilder_infrarot,ch.swisstopo.lubis-luftbilder-dritte-firmen,ch.swisstopo.lubis-luftbilder-dritte-kantone,ch.swisstopo.lubis-bildstreifen,ch.swisstopo.images-swissimage.metadata&amp;catalogNodes=1179,1180,1186,1184"" target=""_blank"">http://map.geo.admin.ch/?layers_timestamp=19971231,19991231,19981231,20001231,99991231,2014,&amp;X;=190000.00&amp;Y;=660000.00&amp;zoom;=1〈=fr&amp;topic;=luftbilder&amp;bgLayer;=ch.swisstopo.pixelkarte-grau&amp;layers;=ch.swisstopo.lubis-luftbilder_schwarzweiss,ch.swisstopo.lubis-luftbilder_farbe,ch.swisstopo.lubis-luftbilder_infrarot,ch.swisstopo.lubis-luftbilder-dritte-firmen,ch.swisstopo.lubis-luftbilder-dritte-kantone,ch.swisstopo.lubis-bildstreifen,ch.swisstopo.images-swissimage.metadata&amp;catalogNodes;=1179,1180,1186,1184</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">time</td>
<td valign=""top"" width=""150"">année (format : YYYY). Peut être appliqué à toutes les couches timeEnabled.<br>
Cas spécial WMS:  YYYY vide signifie que les données de toute les années s’affichent (valeur par defaut)</br></td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?layers=ch.swisstopo.lubis-luftbilder_farbe&amp;time=1981"" target=""_blank"">http://map.geo.admin.ch/ 
		<br>?layers=ch.swisstopo.lubis-luftbilder_farbe&amp;time;=1981</br></a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">(layer    bod id)</td>
<td valign=""top"" width=""150"">Layer bod id des features qui doivent être accentués</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?ch.bafu.bundesinventare-moorlandschaften=212,213"" target=""_blank"">http://map.geo.admin.ch/?ch.bafu.bundesinventare-moorlandschaften=212,213</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">crosshair</td>
<td valign=""top"" width=""150"">crosshair=, types possibles:    cross, circle, bowl, point et marker</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?Y=538700&amp;X=165890&amp;zoom=6&amp;crosshair=circle"" target=""_blank"">http://map.geo.admin.ch/?Y=538700&amp;<br/>X=165890&amp;zoom=6&amp;crosshair=circle</a></td>
</tr>
<tr>
<td valign=""top"" width=""100"">swisssearch</td>
<td valign=""top"" width=""150"">swisssearch=<br>Adresse ou coordonnées WGS84</br></td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?swisssearch=berges 37 payerne"" target=""_blank"">http://map.geo.admin.ch/?swisssearch=<br/>berges 37 payerne</a>
<br><br>
<a href=""http://map.geo.admin.ch/?swisssearch=7.04983,46.42928"" target=""_blank"">http://map.geo.admin.ch/?swisssearch=7.04983,46.42928</a></br></br></td>
</tr>
<tr>
<td valign=""top"" width=""100"">swipe_ratio</td>
<td valign=""top"" width=""150"">La valeur entre 0 et 1 définit la position relative de l'outil ""swipe"" de la fonction de comparaison (au moins 2 couches nécessaires)</td>
<td valign=""top"" width=""310""><a href=""http://map.geo.admin.ch/?swipe_ratio=0.5&amp;bgLayer=ch.swisstopo.pixelkarte-farbe&amp;layers=ch.swisstopo.geologie-geotechnik-gk200"" target=""_blank"">http://map.geo.admin.ch/?swipe_ratio=0.5&amp;bgLayer;=ch.swisstopo.pixelkarte-farbe&amp;layers;=ch.swisstopo.geologie-geotechnik-gk200</a></td>
</tr>
</table>
",,/help/img/54f.png
55,32,Mode offline pour mobile,"Offline pour une zone d’intérêt de 10x10km, carte à l'échelle 1:25'000 sans tooltip. <br><u>Actuellement disponible uniquement sur appareils mobiles.</u>

1. S’assurer d’avoir une connexion Internet stable, validez le téléchargement avec ""ok"".
Ne fermez pas le navigateur. Ne verrouillez pas votre appareil . Si aucune progression n’est visible, ou des problèmes sont rencontrés, veuillez effacer le cache du navigateur de votre appareil. Désactivez le mode «privé». Attendre la fin du téléchargement, validez avec ""ok"".

2. S'il n'y a pas de connexion Internet - l'application est en mode déconnecté
3. Fonctions offline: accès et représentation de la zone d'intérêt stockée

<b>Visualiser la zone d’intérêt:</b> les données situées dans le carré rouge sont disponibles
<b>Zoom sur la zone d’intérêt:</b> centré sur la zone
<b>Effacer la carte:</b> la zone d’intérêt peut être supprimée et en mode online un nouvel extrait de carte peut être stocké

<b>Instructions sur Slideshare: </b> [http://fr.slideshare.net/swiss_geoportal/mobilegeoadminch-re1/32]",,/help/img/55.png
59,33,FONCTIONS MESURER & DESSINER,#,,
66,34,"Toutes les fonctions ""dessiner/mesurer""","1- <a href=""/help/?id=91&lang=fr"" target=""_self"">Ajouter un <b>symbole</b></a><br>
2- <a href=""/help/?id=92&lang=fr"" target=""_self"">Ajouter du <b>texte</b></a><br>
3- <a href=""/help/?id=93&lang=fr"" target=""_self"">Ajouter un <b>tracé / polygone</b></a><br>
4- <a href=""/help/?id=94&lang=fr"" target=""_self""><b>Mesurer</b></a><br>
5- <a href=""/help/?id=95&lang=fr"" target=""_self""><b>Partager</b> un dessin / KML</a>",,/help/img/90f.png
91,35,Ajouter un symbole,"Dans « Dessiner & mesurer sur la carte », sélectionner « Symbole ». Cliquer avec la souris sur l'endroit désiré pour ajouter un symbole.

Une fois placé, le symbole peut être modifié (taille et icône) et recevoir une description au format HTML ou texte  (fenêtre placée en bas à gauche). Cette description est affichée lorsqu'un clic est fait sur le symbole quand le dessin est partagé ou affiché par KML.

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant « Plus… » .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/91f.png
92,36,Ajouter du texte,"Dans ""Dessiner & mesurer sur la carte"", sélectionner ""Texte"". Cliquer avec la souris sur l'endroit désiré pour ajouter du  texte.

Une fois placé, le texte et sa couleur peuvent être modifiés (fenêtre placée en bas à gauche). 

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant « Plus… » .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/92f.png
93,37,Ajouter un tracé / polygone,"Dans ""Dessiner & mesurer sur la carte"", sélectionner ""Trait"". Cliquer avec la souris pour commencer le tracé, les clics suivants ajoutent des segments, double-clic pour terminer.

De nouveaux points peuvent être ajoutés au tracé : cliquer sur un segment, positionner le nouveau point et relâcher la souris pour valider sa position.
La fenêtre en bas à gauche, permet de:
-	modifier la <b>couleur</b> du trait et de lui donner une <b>description</b> au format HTML ou texte. La description est affichée lorsqu'un clic est fait sur le symbole quand le dessin est partagé ou affiché par KML.
-	afficher le <b>profil</b> du tracé 
-	afficher les <b>mesures</b> du tracé (distance, surface, azimut)

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant ""Plus…"" .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/93f.png
94,38,Mesurer,"Dans ""Dessiner & mesurer sur la carte"", sélectionner ""Mesurer"". Cliquer avec la souris pour définir le point de départ de la mesure, clics suivants pour ajouter des segments ou créer une surface. Double-clic pour terminer un tracé ou clic sur le point de départ pour fermer une surface. 

La mesure de la distance, de la surface et du profil sont automatiquement affichés.

On peut modifier tout élément en cliquant dessus. On peut sélectionner plusieurs éléments à modifier/supprimer en cliquant sur les objets avec la souris en maintenant la touche SHIFT, ou les supprimer en utilisant les options du menu déroulant ""Plus…"" .","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/94f.png
95,39,Partager un dessin / KML,"Dans ""Dessiner & mesurer sur la carte"", les éléments de dessin (symboles, textes, tracés) peuvent être :

- <b>Share Link</b>: partagés avec d’autres utilisateurs (1).
- <b>Admin Link</b> : être à nouveau édités ultérieurement. Ce lien doit être sauvegardé, dans le cas où vous désirez modifier/supprimer vos éléments de dessin (2).
- <b>Télécharger</b> vos éléments de dessin sous la forme d’un jeu de données au format KML, en utilisant l’option du menu déroulant « Plus… » (3).","Votre dessin est automatiquement stocké pour une année, vous acceptez ainsi les conditions d’utilisation.",/help/img/95f.png
60,40,FONCTIONS COMPLEMENTAIRES,#,,
62,41,WMS Import,"Seuls des services WMS qui supportent la ""Projection Suisse EPSG 21781"" et qui respectent le standard <a href=""http://www.opengeospatial.org/standards/wms"">WMS OGC</a> peuvent être représentés. Un outil de test simple est à disposition sur le site suivant: <a href=""//www.geo.admin.ch/internet/geoportal/fr/home/services/geoservices/ech0056.html"">Checkservice</a>
Les jeux de données WMS sont généralement visible à une échelle déterminée, de ce fait, il faut être centré dans la portion de carte correspondante et également choisir l'échelle appropriée.
La rapidité de représentation des jeux de données WMS, de même que leur disponibilité, sont dépendantes des responsables de ces jeux de données.
Les jeux de données peuvent être sauvegardés au format PDF en utilisant la fonction ""Impression"".
De même, un jeux de données peut être transmis par email au moyen de la fonction Permalink ""Lien"".
Veuillez vous conformer aux conditions d'utilisation des jeux de données du fournisseur.",,/help/img/63f.png
